times: 4 distance(final output)0.48745313 distance_chess0.37240306
 Equal: Falsetimes: 929 distance(final output)2.2680824 distance_chess2.063479
 Equal: Falsetimes: 934 distance(final output)2.7743118 distance_chess2.280603
 Equal: Falsetimes: 939 distance(final output)2.6492343 distance_chess2.2310846
 Equal: Falsetimes: 944 distance(final output)1.6925863 distance_chess1.5763373
 Equal: Falsetimes: 949 distance(final output)2.3464975 distance_chess2.032237
 Equal: Falsetimes: 954 distance(final output)2.2821174 distance_chess2.017853
 Equal: Falsetimes: 959 distance(final output)3.1337106 distance_chess3.084684
 Equal: Falsetimes: 964 distance(final output)2.224472 distance_chess1.6463972
 Equal: Falsetimes: 969 distance(final output)1.8727211 distance_chess1.6360124
 Equal: Falsetimes: 974 distance(final output)1.6420783 distance_chess1.3020192
 Equal: Falsetimes: 979 distance(final output)3.0730531 distance_chess3.0246387
 Equal: Falsetimes: 984 distance(final output)1.1628457 distance_chess1.1627623
 Equal: Falsetimes: 989 distance(final output)2.5266447 distance_chess2.333589
 Equal: Falsetimes: 994 distance(final output)2.9989636 distance_chess2.985478
 Equal: Falsetimes: 999 distance(final output)0.96173114 distance_chess0.901666
 Equal: False
